,Const,Runtime,Imdbvotes,Metascore,Award Status_Oscar Nom,Award Status_Oscar Win,Award Status_Other Nom,Award Status_Other Win,Genre Group_Action/Adventure,Genre Group_Drama/Thriller,Genre Group_Animation,Genre Group_Comedy,Genre Group_Horror
2404,1.0,118.0,4680.0,52.0,0,0,0,1,1,0,0,0,0
3150,1.0,87.0,112333.0,74.0,1,0,0,0,0,0,1,0,0
2316,1.0,116.0,16912.0,70.0,0,0,0,1,0,0,0,0,0
109,1.0,100.0,3280.0,58.74590869939707,0,0,0,0,1,0,0,0,0
381,1.0,92.0,53884.0,46.0,0,0,0,0,0,0,0,1,0
442,1.0,133.0,179303.0,84.0,1,0,0,0,0,0,0,0,0
2560,1.0,101.0,36532.0,37.0,0,0,1,0,1,0,0,0,0
928,1.0,111.0,93746.0,89.0,1,0,0,0,0,1,0,0,0
2518,1.0,93.0,15406.0,18.0,0,0,0,1,0,0,0,1,0
2669,1.0,94.0,358429.0,84.0,1,0,0,0,0,0,0,1,0
2621,1.0,99.0,5852.0,53.0,0,0,0,0,0,0,0,0,0
2005,1.0,110.0,46419.0,82.0,0,0,0,1,0,1,0,0,0
2482,1.0,90.0,118585.0,67.0,0,0,0,1,0,0,0,1,0
3193,1.0,147.0,10664.0,80.0,0,0,0,1,0,0,0,0,0
1166,1.0,95.0,714.0,62.0,0,0,0,1,1,0,0,0,0
3182,1.0,90.0,22091.0,40.0,0,0,0,0,0,0,0,1,0
2016,1.0,82.0,15805.0,54.0,0,0,0,1,0,0,0,1,0
220,1.0,81.0,3145.0,58.74590869939707,0,0,1,0,1,0,0,0,0
83,1.0,91.0,1021.0,58.74590869939707,0,0,0,0,0,1,0,0,0
1739,1.0,96.0,11787.0,36.0,0,0,1,0,1,0,0,0,0
506,1.0,107.0,32625.0,38.0,0,0,0,1,0,1,0,0,0
527,1.0,88.0,35749.0,83.0,0,0,0,1,0,0,0,1,0
1079,1.0,95.0,106734.0,99.0,0,0,0,1,0,0,0,0,0
188,1.0,109.0,33888.0,60.0,0,0,1,0,0,0,0,1,0
1741,1.0,97.0,17032.0,65.0,0,0,1,0,0,0,0,1,0
2119,1.0,85.0,15777.0,65.0,0,0,0,1,0,0,0,0,0
797,1.0,122.0,138318.0,78.0,0,1,0,0,0,0,0,0,0
574,1.0,94.0,8669.0,25.0,0,0,1,0,0,0,0,1,0
741,1.0,107.0,92104.0,60.0,1,0,0,0,1,0,0,0,0
3098,1.0,104.0,79343.0,55.0,0,0,0,1,1,0,0,0,0
2247,1.0,99.0,13133.0,42.0,0,0,1,0,0,0,0,0,1
1791,1.0,108.0,11333.0,48.0,0,0,0,0,1,0,0,0,0
2481,1.0,104.0,282750.0,64.0,0,0,0,1,0,0,0,0,0
1929,1.0,140.0,113356.0,63.0,1,0,0,0,0,0,0,0,0
1968,1.0,130.0,1369257.0,66.0,1,0,0,0,0,1,0,0,0
2476,1.0,123.0,76155.0,74.0,1,0,0,0,0,0,0,0,0
2994,1.0,112.0,319939.0,66.0,0,0,0,1,0,0,0,1,0
1469,1.0,84.0,15542.0,79.0,0,0,0,1,0,0,0,1,0
561,1.0,108.0,47404.0,56.0,1,0,0,0,0,0,0,1,0
2522,1.0,104.0,76691.0,50.0,0,0,1,0,0,0,0,1,0
1604,1.0,90.0,14784.0,56.0,0,0,1,0,0,1,0,0,0
1955,1.0,95.0,32952.0,43.0,0,0,0,1,1,0,0,0,0
924,1.0,121.0,131422.0,60.0,0,0,0,1,1,0,0,0,0
846,1.0,103.0,4581.0,58.74590869939707,0,0,1,0,0,1,0,0,0
1755,1.0,109.0,80529.0,54.0,0,0,0,1,1,0,0,0,0
2516,1.0,127.0,278057.0,66.0,0,0,0,1,1,0,0,0,0
989,1.0,101.0,99064.0,55.0,0,0,0,1,0,1,0,0,0
324,1.0,115.0,13759.0,58.74590869939707,0,0,1,0,0,0,0,1,0
575,1.0,90.0,189.0,58.74590869939707,0,0,0,0,0,0,0,1,0
935,1.0,100.0,56864.0,86.0,1,0,0,0,0,1,0,0,0
1061,1.0,93.0,175035.0,97.0,0,1,0,0,0,0,0,0,0
866,1.0,120.0,9781.0,70.0,0,0,0,1,0,0,0,0,0
632,1.0,102.0,2249.0,58.74590869939707,0,0,0,0,0,1,0,0,0
617,1.0,109.0,433.0,58.74590869939707,0,0,0,0,0,1,0,0,0
939,1.0,96.0,18025.0,53.0,0,0,1,0,0,0,0,1,0
2515,1.0,88.0,90244.0,43.0,0,0,0,1,0,0,0,1,0
214,1.0,107.0,395138.0,41.0,0,0,0,1,0,0,0,1,0
1761,1.0,113.0,8382.0,65.0,0,1,0,0,0,0,0,1,0
1037,1.0,98.0,434638.0,77.0,1,0,0,0,1,0,0,0,0
1747,1.0,87.0,2336.0,59.0,0,0,1,0,0,0,0,0,0
1644,1.0,91.0,55152.0,47.0,0,0,1,0,1,0,0,0,0
1785,1.0,107.0,7018.0,58.74590869939707,0,0,1,0,0,0,0,0,0
1487,1.0,95.0,2134.0,35.0,0,0,0,0,1,0,0,0,0
2089,1.0,110.0,4022.0,75.0,0,0,0,1,0,1,0,0,0
890,1.0,96.0,132979.0,89.0,0,0,0,1,0,0,0,0,1
2995,1.0,93.0,38663.0,22.0,0,0,1,0,1,0,0,0,0
292,1.0,116.0,196501.0,42.0,0,0,0,1,1,0,0,0,0
1882,1.0,90.0,1243.0,71.0,0,0,1,0,0,0,0,1,0
552,1.0,83.0,205056.0,96.0,1,0,0,0,0,0,1,0,0
1606,1.0,90.0,2727.0,44.0,0,0,0,1,0,0,0,1,0
2229,1.0,118.0,25278.0,65.0,0,0,0,1,0,0,0,0,0
489,1.0,114.0,3134.0,77.0,0,0,0,1,0,1,0,0,0
1645,1.0,72.0,331.0,58.74590869939707,1,0,0,0,0,0,0,0,0
2767,1.0,72.0,11413.0,58.74590869939707,0,0,0,0,0,0,1,0,0
885,1.0,117.0,33910.0,53.0,0,0,0,0,0,0,0,1,0
488,1.0,94.0,40645.0,61.0,0,0,0,1,0,0,0,0,0
1903,1.0,119.0,505.0,46.0,0,0,0,1,0,0,0,1,0
3080,1.0,108.0,2858.0,72.0,0,0,1,0,0,0,0,0,0
1933,1.0,94.0,7903.0,51.0,0,0,0,1,0,0,0,1,0
690,1.0,98.0,30154.0,40.0,0,0,0,1,1,0,0,0,0
2154,1.0,90.0,40598.0,34.0,0,0,0,1,0,1,0,0,0
1052,1.0,172.0,243552.0,63.0,0,1,0,0,0,0,0,0,0
2128,1.0,99.0,5916.0,44.0,0,0,0,1,0,0,0,1,0
884,1.0,129.0,117378.0,73.0,0,1,0,0,0,0,0,1,0
1748,1.0,93.0,4778.0,35.0,0,0,0,1,0,0,0,0,0
1774,1.0,107.0,7352.0,76.0,0,0,0,1,0,1,0,0,0
1493,1.0,103.0,1746.0,58.74590869939707,0,0,0,0,0,1,0,0,0
3066,1.0,115.0,47733.0,84.0,0,0,0,1,0,1,0,0,0
2709,1.0,90.0,27961.0,72.0,0,0,0,1,0,0,0,1,0
807,1.0,100.0,241698.0,65.0,0,1,0,0,0,1,0,0,0
1498,1.0,94.0,11318.0,20.0,0,0,1,0,0,0,0,1,0
891,1.0,117.0,73764.0,56.0,0,0,0,1,1,0,0,0,0
2442,1.0,88.0,5902.0,65.0,0,0,1,0,0,0,0,1,0
38,1.0,119.0,23234.0,58.74590869939707,0,0,1,0,1,0,0,0,0
2586,1.0,93.0,11323.0,32.0,0,0,0,1,0,0,0,1,0
2340,1.0,113.0,211509.0,68.0,0,0,0,1,0,0,0,0,0
1902,1.0,98.0,101002.0,52.0,0,0,0,1,0,0,0,1,0
1756,1.0,94.0,42747.0,78.0,0,0,0,1,0,0,0,0,1
2080,1.0,92.0,81696.0,73.0,1,0,0,0,0,0,0,0,0
775,1.0,105.0,80125.0,51.0,0,0,0,1,0,0,0,1,0
1483,1.0,88.0,58041.0,45.0,0,0,0,1,1,0,0,0,0
504,1.0,112.0,21794.0,72.0,1,0,0,0,0,0,0,1,0
1490,1.0,128.0,3821.0,58.74590869939707,0,0,0,1,0,0,0,1,0
1479,1.0,99.0,10464.0,46.0,0,0,0,0,1,0,0,0,0
2526,1.0,115.0,645285.0,85.0,0,1,0,0,1,0,0,0,0
2833,1.0,102.0,17627.0,53.0,0,0,0,1,0,1,0,0,0
2226,1.0,94.0,1790.0,64.0,0,0,1,0,0,1,0,0,0
