,Variables,Coefficients,Coef Std. Errors,T Stat
0,Const,11.328452815404459,0.4726887805166728,23.965986252142237
1,Runtime,0.030915785824498488,0.0035509725752136544,8.706286846678434
2,Imdbvotes,3.0378604743999937e-06,3.552023828123152e-07,8.55247774620128
3,Metascore,-0.016384093975035537,0.004453505029385058,-3.6789211793700076
4,Award Status_Oscar Nom,2.304281457633585,0.25683694728503575,8.971767816085706
5,Award Status_Oscar Win,2.493833705931539,0.31280624078685676,7.972455088039033
6,Award Status_Other Nom,0.8876116237865613,0.1998641345294214,4.4410750626991495
7,Award Status_Other Win,0.8627530673029501,0.17731868985825242,4.865550653417472
8,Genre Group_Action/Adventure,2.037700024384553,0.18876614969318498,10.794838098337925
9,Genre Group_Drama/Thriller,-0.02512008857133914,0.18923066165004618,-0.13274851100925172
10,Genre Group_Animation,2.4233068004757414,0.3645497079286936,6.647397454367851
11,Genre Group_Comedy,1.316539168121778,0.17575744066883028,7.490659644973197
12,Genre Group_Horror,1.5903217558689717,0.38553662213498097,4.124956397299609
